episode,steps,return
1,200,-650.0
2,200,-596.0
3,200,-677.0
4,200,-641.0
5,200,-623.0
6,200,-605.0
7,200,-434.0
8,200,-542.0
9,200,-542.0
10,200,-551.0
11,200,-560.0
12,18,-24.0
13,200,-245.0
14,190,-295.0
15,200,-263.0
16,112,-109.0
17,200,-254.0
18,138,-450.0
19,200,-560.0
20,200,-290.0
21,200,-254.0
22,200,-623.0
23,200,-533.0
24,200,-245.0
25,200,-299.0
26,200,-236.0
27,62,-68.0
28,200,-299.0
29,200,-236.0
30,200,-569.0
31,200,-308.0
32,200,-281.0
33,200,-362.0
34,200,-506.0
35,200,-272.0
36,200,-353.0
37,200,-245.0
38,200,-254.0
39,90,-168.0
40,200,-299.0
41,200,-281.0
42,200,-263.0
43,200,-245.0
44,200,-272.0
45,130,-136.0
46,200,-353.0
47,200,-317.0
48,200,-254.0
49,200,-317.0
50,179,-203.0
51,200,-245.0
52,200,-254.0
53,200,-263.0
54,200,-272.0
55,200,-485.0
56,200,-299.0
57,200,-470.0
58,200,-272.0
59,200,-281.0
60,200,-299.0
61,200,-263.0
62,200,-650.0
63,200,-317.0
64,200,-236.0
65,200,-335.0
66,189,-213.0
67,200,-281.0
68,200,-317.0
69,74,-71.0
70,86,-128.0
71,200,-254.0
72,200,-254.0
73,124,-121.0
74,200,-272.0
75,200,-281.0
76,200,-254.0
77,200,-281.0
78,200,-299.0
79,200,-353.0
80,200,-290.0
81,200,-317.0
82,200,-227.0
83,27,-15.0
84,200,-362.0
85,200,-326.0
86,200,-281.0
87,59,-56.0
88,200,-236.0
89,200,-272.0
90,126,-168.0
91,200,-425.0
92,200,-299.0
93,200,-371.0
94,200,-272.0
95,200,-353.0
96,200,-254.0
97,200,-263.0
98,200,-281.0
99,114,-138.0
100,200,-281.0
101,200,-236.0
102,200,-398.0
103,200,-335.0
104,200,-272.0
105,200,-344.0
106,200,-245.0
107,200,-326.0
108,200,-308.0
109,200,-425.0
110,200,-254.0
111,200,-308.0
112,200,-281.0
113,200,-371.0
114,200,-272.0
115,200,-263.0
116,139,-181.0
117,200,-254.0
118,200,-326.0
119,200,-272.0
120,200,-290.0
121,98,-122.0
122,200,-263.0
123,200,-236.0
124,200,-290.0
125,36,-24.0
126,200,-344.0
127,200,-290.0
128,200,-227.0
129,200,-290.0
130,163,-205.0
131,200,-335.0
132,200,-272.0
133,200,-281.0
134,200,-236.0
135,200,-272.0
136,200,-308.0
137,200,-263.0
138,142,-157.0
139,200,-380.0
140,200,-371.0
141,200,-344.0
142,200,-290.0
143,200,-317.0
144,200,-371.0
145,200,-290.0
146,200,-236.0
147,148,-181.0
148,200,-254.0
149,200,-281.0
150,200,-308.0
151,200,-335.0
152,200,-281.0
153,200,-299.0
154,200,-299.0
155,200,-281.0
156,80,-77.0
157,200,-326.0
158,200,-245.0
159,200,-272.0
160,200,-254.0
161,200,-344.0
162,200,-263.0
163,200,-263.0
164,200,-227.0
165,200,-299.0
166,200,-344.0
167,200,-290.0
168,200,-299.0
169,200,-236.0
170,200,-254.0
171,200,-236.0
172,200,-317.0
173,200,-236.0
174,200,-299.0
175,200,-263.0
176,200,-236.0
177,103,-145.0
178,63,-69.0
179,200,-299.0
180,200,-281.0
181,200,-236.0
182,200,-290.0
183,200,-263.0
184,200,-398.0
185,200,-299.0
186,200,-263.0
187,200,-344.0
188,200,-326.0
189,197,-293.0
190,65,-80.0
191,200,-290.0
192,200,-344.0
193,200,-290.0
194,123,-138.0
195,200,-263.0
196,200,-281.0
197,200,-317.0
