episode,steps,return
1,200,-650.0
2,200,-596.0
3,200,-677.0
4,200,-641.0
5,200,-623.0
6,200,-605.0
7,200,-434.0
8,200,-542.0
9,200,-542.0
10,200,-551.0
11,200,-560.0
12,18,-24.0
13,200,-245.0
14,190,-295.0
15,200,-299.0
16,198,-231.0
17,200,-218.0
18,110,-368.0
19,200,-560.0
20,200,-344.0
21,200,-245.0
22,200,-578.0
23,200,-578.0
24,200,-263.0
25,200,-236.0
26,200,-245.0
27,105,-138.0
28,200,-281.0
29,200,-290.0
30,200,-668.0
31,200,-227.0
32,200,-254.0
33,200,-371.0
34,200,-560.0
35,200,-290.0
36,200,-245.0
37,200,-290.0
38,200,-245.0
39,200,-272.0
40,200,-281.0
41,200,-290.0
42,200,-272.0
43,200,-281.0
44,200,-380.0
45,200,-245.0
46,34,-22.0
47,200,-290.0
48,200,-245.0
49,50,-65.0
50,200,-236.0
51,198,-294.0
52,200,-380.0
53,200,-263.0
54,200,-308.0
55,190,-502.0
56,200,-344.0
57,200,-299.0
58,200,-263.0
59,126,-159.0
60,175,-208.0
61,200,-218.0
62,200,-533.0
63,200,-308.0
64,200,-281.0
65,200,-281.0
66,200,-299.0
67,200,-236.0
68,200,-353.0
69,200,-272.0
70,200,-254.0
71,134,-140.0
72,200,-245.0
73,200,-263.0
74,200,-263.0
75,200,-281.0
76,200,-272.0
77,66,-108.0
78,53,-50.0
79,200,-299.0
80,200,-335.0
81,200,-317.0
82,200,-236.0
83,200,-227.0
84,157,-181.0
85,200,-281.0
86,200,-254.0
87,118,-124.0
88,149,-173.0
89,200,-362.0
90,200,-263.0
91,200,-326.0
92,200,-371.0
93,200,-326.0
94,75,-108.0
95,158,-209.0
96,200,-263.0
97,200,-218.0
98,117,-204.0
99,200,-263.0
100,200,-272.0
101,200,-344.0
102,192,-288.0
103,200,-506.0
104,200,-245.0
105,200,-308.0
106,200,-353.0
107,118,-115.0
108,200,-308.0
109,200,-344.0
110,181,-196.0
111,200,-308.0
112,118,-160.0
113,200,-272.0
114,200,-263.0
115,108,-150.0
116,200,-335.0
117,200,-272.0
118,107,-131.0
119,200,-269.0
120,200,-326.0
121,200,-269.0
122,86,-83.0
123,200,-299.0
124,200,-254.0
125,200,-362.0
126,191,-224.0
127,200,-254.0
128,200,-326.0
129,200,-281.0
130,197,-239.0
131,200,-290.0
132,200,-245.0
133,200,-245.0
134,193,-235.0
135,34,-31.0
136,200,-335.0
137,200,-245.0
138,200,-290.0
139,113,-155.0
140,200,-326.0
141,200,-290.0
142,200,-254.0
143,175,-217.0
144,200,-263.0
145,200,-281.0
146,171,-204.0
147,65,-89.0
148,200,-389.0
149,74,-71.0
150,200,-263.0
151,126,-168.0
152,131,-173.0
153,200,-308.0
154,149,-155.0
155,149,-200.0
156,154,-169.0
157,19,-7.0
158,200,-299.0
159,57,-54.0
160,200,-254.0
161,200,-263.0
162,200,-209.0
163,190,-214.0
164,108,-132.0
165,156,-180.0
166,200,-272.0
167,73,-52.0
168,200,-281.0
169,200,-263.0
170,97,-103.0
171,200,-263.0
172,172,-214.0
173,200,-272.0
174,99,-168.0
175,200,-290.0
176,200,-263.0
177,17,-5.0
178,67,-55.0
179,160,-220.0
180,190,-196.0
181,126,-150.0
182,200,-263.0
183,200,-326.0
184,200,-290.0
185,200,-245.0
186,200,-227.0
187,64,-61.0
188,132,-174.0
189,200,-398.0
190,44,-50.0
191,46,-52.0
192,100,-151.0
193,200,-272.0
194,146,-233.0
195,200,-281.0
196,171,-258.0
197,107,-140.0
