episode,steps,return
1,200,-641.0
2,200,-659.0
3,200,-632.0
4,200,-641.0
5,200,-695.0
6,200,-659.0
7,200,-551.0
8,200,-659.0
9,187,-418.0
10,200,-578.0
11,200,-470.0
12,200,-308.0
13,200,-281.0
14,200,-479.0
15,164,-215.0
16,200,-389.0
17,200,-335.0
18,200,-587.0
19,200,-416.0
20,200,-407.0
21,200,-326.0
22,200,-614.0
23,200,-605.0
24,200,-335.0
25,200,-317.0
26,200,-326.0
27,200,-380.0
28,200,-317.0
29,200,-299.0
30,200,-668.0
31,200,-299.0
32,200,-290.0
33,200,-398.0
34,200,-452.0
35,200,-308.0
36,117,-222.0
37,200,-398.0
38,46,-43.0
39,200,-326.0
40,200,-335.0
41,200,-344.0
42,91,-169.0
43,196,-283.0
44,28,-16.0
45,200,-290.0
46,200,-245.0
47,200,-335.0
48,200,-335.0
49,200,-326.0
50,106,-166.0
51,200,-371.0
52,200,-335.0
53,97,-103.0
54,200,-299.0
55,200,-398.0
56,200,-308.0
57,200,-371.0
58,200,-290.0
59,200,-263.0
60,200,-326.0
61,200,-290.0
62,200,-623.0
63,200,-299.0
64,200,-515.0
65,185,-272.0
66,200,-344.0
67,200,-416.0
68,200,-461.0
69,134,-185.0
70,200,-326.0
71,200,-299.0
72,200,-344.0
73,200,-326.0
74,200,-317.0
75,200,-389.0
76,117,-159.0
77,114,-165.0
78,200,-398.0
79,200,-326.0
80,162,-240.0
81,200,-362.0
82,200,-290.0
83,200,-308.0
84,200,-326.0
85,200,-335.0
86,200,-389.0
87,109,-142.0
88,200,-353.0
89,94,-136.0
90,200,-353.0
91,200,-389.0
92,200,-425.0
93,200,-335.0
94,146,-197.0
95,200,-398.0
96,120,-207.0
97,200,-317.0
98,86,-128.0
99,200,-254.0
100,200,-299.0
101,200,-317.0
102,200,-326.0
103,200,-344.0
104,200,-344.0
105,200,-353.0
106,200,-326.0
107,200,-308.0
108,109,-115.0
109,200,-461.0
110,114,-192.0
111,200,-326.0
112,159,-228.0
113,200,-398.0
114,200,-389.0
115,200,-326.0
116,200,-344.0
117,200,-335.0
118,200,-299.0
119,122,-191.0
120,200,-290.0
121,200,-335.0
122,200,-281.0
123,200,-326.0
124,183,-279.0
125,200,-326.0
126,150,-237.0
127,200,-290.0
128,200,-317.0
129,200,-371.0
130,200,-362.0
131,200,-326.0
132,200,-281.0
133,200,-281.0
134,170,-221.0
135,20,1.0
136,200,-317.0
137,200,-317.0
138,195,-363.0
139,58,-82.0
140,200,-272.0
141,130,-145.0
142,200,-254.0
143,200,-380.0
144,200,-326.0
145,141,-183.0
146,138,-171.0
147,200,-290.0
